Date,Prev Close,Open,High,Low,Close,Change,Deals,Volume,Value
06/06/2018,1430.00,1430.00,1430.00,1430.00,1430.00,,27.00,15493.00,22660470.60
07/06/2018,1430.00,1430.00,1430.00,1430.00,1430.00,,71.00,29139.00,43111246.90
08/06/2018,1430.00,1450.20,1450.20,1450.20,1450.20,20.20,61.00,213962.00,314316928.10
11/06/2018,1450.20,1450.20,1450.20,1450.20,1450.20,,70.00,56344.00,83934713.10
12/06/2018,1450.20,1495.00,1495.00,1495.00,1495.00,44.80,32.00,60494.00,90434922.10
13/06/2018,1495.00,1495.00,1495.00,1495.00,1495.00,,98.00,154884.00,232310229.80
14/06/2018,1495.00,1495.00,1495.00,1495.00,1495.00,,77.00,143981.00,215905194.20
19/06/2018,1495.00,1495.00,1495.00,1495.00,1495.00,,85.00,110597.00,165456683.50
20/06/2018,1495.00,1495.00,1495.10,1495.00,1495.00,,60.00,277417.00,414752709.40
21/06/2018,1495.00,1495.00,1495.00,1495.00,1495.00,,37.00,80496.00,120267437.00
22/06/2018,1495.00,1495.00,1495.00,1495.00,1495.00,,17.00,2792.00,4150905.70
25/06/2018,1495.00,1490.00,1490.00,1476.10,1490.00,-5.00,41.00,120821.00,179836815.90
26/06/2018,1490.00,1500.00,1500.00,1500.00,1500.00,10.00,45.00,177194.00,265563146.60
27/06/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,37.00,30222.00,45299853.80
28/06/2018,1500.00,1500.10,1501.10,1500.10,1501.10,1.10,11.00,107805.00,161770249.30
29/06/2018,1501.10,1501.20,1575.00,1501.20,1575.00,73.90,54.00,212369.00,322174751.50
02/07/2018,1575.00,1575.00,1575.00,1575.00,1575.00,,22.00,13481.00,20487156.80
03/07/2018,1575.00,1575.00,1510.00,1500.00,1510.00,-65.00,54.00,115314.00,173485587.70
04/07/2018,1510.00,1510.00,1500.00,1500.00,1500.00,-10.00,42.00,56700.00,84875208.00
05/07/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,39.00,40565.00,60761930.30
06/07/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,18.00,2164.00,3230710.70
09/07/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,21.00,52248.00,77481592.00
10/07/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,49.00,40310.00,58740744.90
11/07/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,78.00,78175.00,111223747.00
12/07/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,45.00,82777.00,121473506.30
13/07/2018,1500.00,1500.00,1527.00,1450.00,1527.00,27.00,62.00,205361.00,299579143.40
16/07/2018,1527.00,1527.00,1527.00,1527.00,1527.00,,28.00,33351.00,49421432.50
17/07/2018,1527.00,1527.00,1527.00,1527.00,1527.00,,44.00,41576.00,61685545.00
18/07/2018,1527.00,1527.00,1527.00,1527.00,1527.00,,58.00,79908.00,117402234.10
19/07/2018,1527.00,1527.00,1442.30,1442.30,1442.30,-84.70,23.00,34913.00,50110430.00
20/07/2018,1442.30,1442.30,1430.00,1430.00,1430.00,-12.30,46.00,85164.00,121434825.70
23/07/2018,1430.00,1430.00,1430.00,1430.00,1430.00,,42.00,74405.00,106919184.00
24/07/2018,1430.00,1430.00,1450.00,1450.00,1450.00,20.00,56.00,145448.00,210868689.10
25/07/2018,1450.00,1450.00,1450.00,1450.00,1450.00,,58.00,85880.00,125057937.30
26/07/2018,1450.00,1450.00,1595.00,1454.60,1501.00,51.00,42.00,86709.00,130249409.10
27/07/2018,1501.00,1501.00,1501.00,1501.00,1501.00,,24.00,23177.00,34811264.00
30/07/2018,1501.00,1501.00,1502.00,1500.00,1502.00,1.00,45.00,806935.00,1210632404.50
31/07/2018,1502.00,1502.00,1600.00,1502.00,1600.00,98.00,66.00,904042.00,1388157076.30
01/08/2018,1600.00,1600.00,1560.00,1560.00,1560.00,-40.00,50.00,106749.00,166546657.60
02/08/2018,1560.00,1560.00,1560.00,1550.00,1560.00,,41.00,264294.00,411028685.80
03/08/2018,1560.00,1560.00,1560.00,1560.00,1560.00,,43.00,372383.00,580609550.40
06/08/2018,1560.00,1560.00,1560.00,1560.00,1560.00,,22.00,17614.00,26496953.60
07/08/2018,1560.00,1560.00,1560.00,1560.00,1560.00,,63.00,37573.00,57443064.90
08/08/2018,1560.00,1560.00,1560.00,1560.00,1560.00,,20.00,3454.00,5249903.30
09/08/2018,1560.00,1560.00,1560.00,1560.00,1560.00,,28.00,13517.00,20576965.70
10/08/2018,1560.00,1560.00,1560.00,1505.50,1560.00,,31.00,238279.00,370029382.80
13/08/2018,1560.00,1560.00,1560.00,1560.00,1560.00,,26.00,28933.00,43027097.90
14/08/2018,1560.00,1560.00,1560.00,1560.00,1560.00,,32.00,17933.00,26588254.30
15/08/2018,1560.00,1560.00,1500.00,1500.00,1500.00,-60.00,61.00,81546.00,122313165.00
16/08/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,27.00,88026.00,132123723.30
17/08/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,20.00,16216.00,24419000.00
20/08/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,15.00,111100.00,166649695.00
